pool,backbone,skin,seed,cal,method,burden@5,ndcg@5,burden@10,ndcg@10,burden@20,ndcg@20,burden@50,ndcg@50
dense,NB,Combination,5,rank,relevance_only,8.8,0.9999999999999999,9.0,1.0,9.0,0.9999999999999999,9.44,0.9246134808283833
dense,NB,Combination,5,rank,hard_filter,8.8,0.9999999999999999,9.0,1.0,9.0,0.9999999999999999,9.44,0.9246134808283833
dense,NB,Combination,5,rank,proportional,5.2,0.9999999999999999,5.3,1.0,6.2,0.963643712011461,7.32,0.9201165031704824
dense,NB,Combination,5,rank,MMR,9.4,0.8539316501572934,8.3,0.9052116356304493,8.8,0.9024703966334292,8.84,0.8703526354783029
dense,NB,Combination,5,rank,FAIR_prefix,8.8,0.9999999999999999,9.0,1.0,9.0,0.9999999999999999,9.44,0.9246134808283833
dense,NB,Combination,5,rank,proposed,4.2,0.9999999999999999,4.3,0.933745776545611,4.15,0.8884285425301173,4.34,0.7465255358021958
full,NB,Combination,5,minmax,relevance_only,3.0,0.6608397947263838,2.7,0.7799082337019198,2.5,0.8579599603663426,3.0,0.9076929689933492
full,NB,Combination,5,minmax,hard_filter,2.4,0.6608397947263838,1.8,0.7799082337019198,1.2,0.8579599603663426,1.32,0.8783869335227711
full,NB,Combination,5,minmax,proportional,0.0,0.6608397947263838,0.0,0.7799082337019198,0.05,0.8579599603663426,0.36,0.9083491705252362
full,NB,Combination,5,minmax,MMR,5.8,0.44685352999185624,3.9,0.6410457898283652,4.0,0.7683426731629991,3.3,0.8248983961958023
full,NB,Combination,5,minmax,FAIR_prefix,2.4,0.6608397947263838,2.7,0.7799082337019198,2.5,0.8579599603663426,3.0,0.9076929689933492
full,NB,Combination,5,minmax,proposed,0.0,0.6608397947263838,0.0,0.7799082337019198,0.0,0.8579599603663426,0.0,0.9087985879705379
full,NB,Combination,5,rank,relevance_only,3.0,0.6608397947263838,2.7,0.7799082337019198,2.5,0.8579599603663426,3.0,0.9076929689933492
full,NB,Combination,5,rank,hard_filter,2.4,0.6608397947263838,1.8,0.7799082337019198,1.2,0.8579599603663426,1.32,0.8783869335227711
full,NB,Combination,5,rank,proportional,0.0,0.6608397947263838,0.0,0.7799082337019198,0.1,0.8579599603663426,0.64,0.907797720188085
full,NB,Combination,5,rank,MMR,5.0,0.44685352999185624,4.0,0.6410457898283652,3.65,0.7008422095223031,3.32,0.8219297454039761
full,NB,Combination,5,rank,FAIR_prefix,2.4,0.6608397947263838,2.7,0.7799082337019198,2.5,0.8579599603663426,3.0,0.9076929689933492
full,NB,Combination,5,rank,proposed,0.0,0.6608397947263838,0.0,0.7799082337019198,0.0,0.8579599603663426,0.0,0.9087985879705379
dense,NB,Combination,6,minmax,relevance_only,9.0,0.9999999999999999,8.1,1.0,8.5,0.9298282790659782,9.24,0.9172774888566371
dense,NB,Combination,6,minmax,hard_filter,9.0,0.9999999999999999,8.1,1.0,8.5,0.9298282790659782,9.24,0.9172774888566371
dense,NB,Combination,6,minmax,proportional,4.4,0.8539316501572934,5.2,0.9052116356304493,5.45,0.938826684621968,5.9,0.8479425691069213
dense,NB,Combination,6,minmax,MMR,9.6,0.8304198973631918,8.6,0.8899541168509599,8.7,0.8274204304787356,8.92,0.797116970082531
