skin,gamma,L1,L2,L3
Oily,2.0,0.5549620771314976,0.020969970002616578,2.3989824834884086
Oily,4.0,0.0,0.0,2.5378412623661983
Oily,0.1,1.704813898604057,1.6265155572014591,1.042414849686028
Oily,0.3,1.6865776470865188,1.6788593429379184,1.2145959557733432
Oily,0.5,1.6677741656906917,1.7194675250705835,1.3345312587664258
Oily,1.0,1.5555465072060588,1.4668037813110217,1.5108587154312503
Oily,2.0,1.3773409622633872,0.0,1.8198716202481422
Oily,4.0,1.3401746912026062,0.0,2.0209418147655813
Oily,0.1,2.046014419092538,1.8171632464288592,1.2075953530632784
Oily,0.3,2.055821468020708,1.9877930976483784,1.3296761344990764
Oily,0.5,2.0463499123320403,2.127170362252809,1.438808037728803
Oily,1.0,1.8642719563138122,2.1968798214968435,1.6501280454173288
Oily,2.0,0.375049779684999,0.0,2.020843195808819
Oily,4.0,0.0,0.0,2.8793528747955164
Oily,0.1,2.356515894299424,1.5457786474756225,0.5729286100924517
Oily,0.3,2.506010358884376,1.4819535989640111,0.25653313409337786
Oily,0.5,2.6323228418511264,1.3394952213202436,0.0
Oily,1.0,2.543437860053051,0.15142926196680903,0.0
Oily,2.0,2.755649532300959,0.0,0.0
Oily,4.0,0.0,0.0,2.3324142501443403
Oily,0.1,2.0424201598834633,1.3942579291727801,0.7108523502648083
Oily,0.3,2.1044722350661504,0.9348062449530009,0.0
Oily,0.5,2.081930468516902,0.4488188086306595,0.0
Oily,1.0,2.0513761719755,0.022995336652514627,0.0
Oily,2.0,2.14604405269545,0.0,0.0
Oily,4.0,1.9137239231833647,0.0,0.0
Oily,0.1,2.263479108110854,1.4228839812479335,1.1110136118110556
Oily,0.3,2.3266695294240156,1.1937101194287707,1.1333544348396651
Oily,0.5,2.33213570207138,0.8044903290100096,1.150629445678686
Oily,1.0,2.2198106703126275,0.0,1.501443126198578
Oily,2.0,2.866067022807213,0.06694908960608617,0.0
Oily,4.0,3.2835089891676064,0.0,0.0
Sensitive,0.1,1.70143734990333,1.2775652266620001,0.9213989902541142
Sensitive,0.3,1.7739922775460875,1.511136710824092,0.893651819509047
Sensitive,0.5,1.8436713456712304,1.6932670782762398,0.8754550086829794
Sensitive,1.0,2.002836786507827,2.014369509674717,0.8544201947102317
Sensitive,2.0,2.2634789535463526,2.3961206782816027,0.8600164974135552
Sensitive,4.0,2.6079721459583998,2.810549395233068,0.9936624002862312
Sensitive,0.1,2.08188865257134,1.5293738393864649,0.7436978420102206
Sensitive,0.3,2.137713456897866,1.8040528287478093,0.4692194503914558
Sensitive,0.5,2.2001296478813543,1.9650521671377392,0.32626002505369944
Sensitive,1.0,2.318015126838251,2.3310717465104407,0.3770380471953566
Sensitive,2.0,2.5016254054719838,2.807917162916026,0.6227774045886519
Sensitive,4.0,0.0,2.5767272186039025,2.5231009291051785
Sensitive,0.1,1.8693649216023562,1.2755400753392652,0.9034029054528184
Sensitive,0.3,1.860873516456707,1.4410161476403087,1.0214381082673951
Sensitive,0.5,1.8592389006036625,1.5780824494904524,1.1126734420338535
Sensitive,1.0,1.8693422386010181,1.8416941202225747,1.2813076494550317
Sensitive,2.0,1.908627914447576,2.1891679113200326,1.5063415916704272
Sensitive,4.0,1.9856402340337944,2.5925051917563633,1.7986435142641304
Sensitive,0.1,2.0654780169830924,1.2601597584370898,0.7031498086469288
Sensitive,0.3,2.005478236924964,1.1701019714885366,0.7937987401609742
Sensitive,0.5,1.8774454110458123,0.9287321595120782,0.9433652402675169
Sensitive,1.0,1.5118416006793032,0.0,1.7341463136807085
Sensitive,2.0,0.0,0.0,2.5240483012939805
Sensitive,4.0,0.0,0.0,2.9136396469756978
Sensitive,0.1,1.8935591620383696,1.339312182834742,0.9728865935458169
Sensitive,0.3,2.093452481635652,1.509875903231546,1.0626905651675365
Sensitive,0.5,2.268374222980123,1.6670680792934784,1.1393229287345956
Sensitive,1.0,2.618630088718322,1.99014118392499,1.293632270633879
Sensitive,2.0,3.0864046945184693,2.4148927863659972,1.5132414127756753
Sensitive,4.0,3.0349024035725525,0.0,2.0338081242779595
Sensitive,0.1,2.2373654064840984,1.2357409879130872,0.9607278472344611
Sensitive,0.3,2.4125518259487455,1.6355735284567583,1.243479486049775
Sensitive,0.5,2.570829730606566,1.9047358202105127,1.4633248295791814
Sensitive,1.0,2.8933497736469764,2.3250152862657276,1.8330123451036073
Sensitive,2.0,3.3205229475588123,2.7637248226607896,2.2536533350353403
Sensitive,4.0,0.0,2.3153824535510914,3.1861111485440627
Sensitive,0.1,2.0408674954597483,1.0906908391541437,0.49008882308422663
Sensitive,0.3,2.126546462740437,1.1231560644911482,0.0
Sensitive,0.5,2.1896408513759824,1.1845286840777791,0.0
